,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,iteration,output_path
0,1.0,0.0,2,2,0.02857142857142857,0.022857142857142857,0.02857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00002861
1,,,52,52,0.0,0.017142857142857144,0.02857142857142857,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00000237
2,,,102,102,0.0,0.022857142857142857,0.02857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000297
3,3.0,1.0,3,3,0.011428571428571429,0.04,0.03428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001522
4,,,45,45,0.0,0.02857142857142857,0.005714285714285714,0.01,50000,out/autophagy/explore_parameter_space_00000335
5,5.0,2.0,8,8,0.011428571428571429,0.011428571428571429,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001201
6,,,116,116,0.0,0.04,0.02857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000489
7,1.0,0.0,16,16,0.011428571428571429,0.017142857142857144,0.0,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001220
8,5.0,2.0,10,10,0.005714285714285714,0.022857142857142857,0.0,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000769
9,4.0,2.0,7,7,0.02857142857142857,0.005714285714285714,0.02857142857142857,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002665
10,,,4,4,0.011428571428571429,0.04,0.022857142857142857,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00001508
11,,,13,13,0.022857142857142857,0.02857142857142857,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002395
12,,,48,48,0.0,0.03428571428571429,0.04,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00000446
13,2.0,1.0,3,3,0.022857142857142857,0.02857142857142857,0.03428571428571429,0.01,50000,out/autophagy/explore_parameter_space_00002423
14,2.0,1.0,15,15,0.017142857142857144,0.0,0.04,0.007142857142857143,50000,out/autophagy/explore_parameter_space_00001597
15,2.0,1.0,10,10,0.022857142857142857,0.017142857142857144,0.011428571428571429,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002259
16,2.0,1.0,9,9,0.022857142857142857,0.022857142857142857,0.03428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00002354
17,,,48,48,0.0,0.02857142857142857,0.04,0.01,50000,out/autophagy/explore_parameter_space_00000383
18,2.0,1.0,5,5,0.011428571428571429,0.022857142857142857,0.005714285714285714,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001290
19,9.0,3.0,29,29,0.02857142857142857,0.02857142857142857,0.011428571428571429,0.0,50000,out/autophagy/explore_parameter_space_00002896
20,2.0,1.0,89,89,0.0,0.011428571428571429,0.005714285714285714,0.0,50000,out/autophagy/explore_parameter_space_00000136
21,3.0,2.0,16,16,0.011428571428571429,0.02857142857142857,0.011428571428571429,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00001366
22,,,70,70,0.005714285714285714,0.017142857142857144,0.0,0.01,50000,out/autophagy/explore_parameter_space_00000711
23,5.0,1.0,7,7,0.017142857142857144,0.017142857142857144,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001777
24,,,4,4,0.022857142857142857,0.03428571428571429,0.02857142857142857,0.005714285714285714,50000,out/autophagy/explore_parameter_space_00002476
25,2.0,1.0,13,13,0.011428571428571429,0.0,0.03428571428571429,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00001074
26,,,104,104,0.0,0.005714285714285714,0.03428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000113
27,7.0,2.0,13,13,0.005714285714285714,0.02857142857142857,0.005714285714285714,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00000841
28,,,10,10,0.02857142857142857,0.017142857142857144,0.022857142857142857,0.008571428571428572,50000,out/autophagy/explore_parameter_space_00002790
29,14.0,13.0,8,8,0.005714285714285714,0.022857142857142857,0.04,0.002857142857142857,50000,out/autophagy/explore_parameter_space_00000826
30,5.0,1.0,8,8,0.022857142857142857,0.011428571428571429,0.011428571428571429,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002193
31,3.0,1.0,9,9,0.011428571428571429,0.0,0.017142857142857144,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00001051
32,2.0,1.0,92,92,0.0,0.04,0.005714285714285714,0.0,50000,out/autophagy/explore_parameter_space_00000456
33,2.0,1.0,9,9,0.022857142857142857,0.0,0.03428571428571429,0.004285714285714286,50000,out/autophagy/explore_parameter_space_00002099
34,5.0,2.0,7,7,0.011428571428571429,0.011428571428571429,0.005714285714285714,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00001161
35,3.0,1.0,12,12,0.022857142857142857,0.005714285714285714,0.005714285714285714,0.0014285714285714286,50000,out/autophagy/explore_parameter_space_00002121
