,kde_clusters,kde_clusters_at_cargo,graph_clusters,graph_clusters_at_cargo,potential_strength_r11_r11,potential_strength_cargo_r11,potential_strength_cargo_r11_avidity,kb_temperature_r11,interaction_relative_neighbour_distance,iteration,output_path
0,3.0,0.0,159,159,0.01,0.0075,0.0,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00027633
1,6.0,2.0,78,78,0.005,0.0025,0.0,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00013208
2,,,146,146,0.005,0.0075,0.0025,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00015909
3,6.0,1.0,168,168,0.0,0.0025,0.0,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00001420
4,3.0,1.0,22,22,0.01,0.01,0.0025,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00029096
5,15.0,1.0,112,112,0.0075,0.01,0.01,0.012,2.0,45000,out/autophagy/explore_parameter_space_2_00023876
6,5.0,2.0,23,23,0.01,0.0,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00024343
7,7.0,1.0,16,16,0.0025,0.0075,0.0025,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00009892
8,4.0,1.0,39,39,0.0025,0.01,0.0025,0.0,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00011191
9,9.0,2.0,152,152,0.01,0.0,0.005,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00024613
10,5.0,1.0,22,22,0.005,0.01,0.005,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00017328
11,4.0,1.0,60,60,0.0025,0.0075,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00010322
12,,,150,150,0.01,0.005,0.0075,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00027249
13,9.0,1.0,152,152,0.0,0.0075,0.0025,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00003982
14,7.0,0.0,154,154,0.0075,0.0025,0.005,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00019758
15,18.0,1.0,151,151,0.0075,0.005,0.0,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00020618
16,10.0,1.0,147,147,0.01,0.0075,0.01,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00028784
17,16.0,0.0,154,154,0.005,0.0075,0.0025,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00016060
18,12.0,0.0,152,152,0.0025,0.0075,0.0,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00009815
19,12.0,2.0,158,158,0.0075,0.005,0.0075,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00021355
20,3.0,1.0,113,113,0.0,0.0025,0.0075,0.0,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001973
21,6.0,0.0,163,163,0.0025,0.0025,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00007343
22,,,127,127,0.0075,0.005,0.01,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021520
23,6.0,0.0,149,149,0.0025,0.005,0.005,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00008920
24,4.0,1.0,152,152,0.01,0.01,0.01,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00029843
25,18.0,1.0,129,129,0.0025,0.0075,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00010187
26,6.0,0.0,156,156,0.0,0.005,0.0,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00002441
27,5.0,0.0,166,166,0.0025,0.005,0.0025,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00008817
28,,,55,55,0.005,0.005,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00015564
29,6.0,2.0,154,154,0.0075,0.01,0.01,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00023805
30,6.0,2.0,17,17,0.005,0.005,0.0,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00014500
31,8.0,0.0,174,174,0.0025,0.0,0.0025,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00006260
32,6.0,1.0,161,161,0.0025,0.0,0.0,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00006122
33,5.0,1.0,159,159,0.005,0.0,0.0025,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00012452
34,9.0,2.0,150,150,0.0075,0.01,0.005,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00023468
35,13.0,0.0,167,167,0.0025,0.0025,0.01,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00008368
36,19.0,1.0,145,145,0.0,0.01,0.0,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00004862
37,,,158,158,0.005,0.0025,0.0,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00013326
38,,,165,165,0.005,0.0075,0.005,0.03,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00016174
39,19.0,1.0,155,155,0.005,0.01,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00017742
40,4.0,1.0,20,20,0.0075,0.005,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00020742
41,,,159,159,0.005,0.01,0.01,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00017933
42,4.0,1.0,30,30,0.0025,0.005,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00008642
43,6.0,0.0,160,160,0.0025,0.0025,0.0075,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00007955
44,3.0,2.0,61,61,0.005,0.01,0.005,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00017341
45,9.0,1.0,151,151,0.0075,0.0075,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00021740
46,23.0,0.0,147,147,0.0,0.01,0.01,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00005826
47,12.0,1.0,173,173,0.0025,0.01,0.0025,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00011111
48,,,161,161,0.005,0.01,0.005,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00017315
49,9.0,0.0,155,155,0.01,0.0025,0.0025,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00025614
50,,,18,18,0.01,0.01,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00029045
51,4.0,3.0,71,71,0.005,0.0025,0.0,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00013402
52,4.0,1.0,24,24,0.0075,0.01,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00023046
53,8.0,1.0,153,153,0.005,0.0025,0.0025,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00013630
54,2.0,1.0,25,25,0.01,0.01,0.005,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00029291
55,10.0,1.0,157,157,0.01,0.005,0.0025,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00026674
56,,,157,157,0.01,0.01,0.0,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00028942
57,,,110,110,0.0,0.01,0.01,0.006,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00005919
58,2.0,0.0,40,40,0.0075,0.01,0.0075,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00023583
59,4.0,1.0,164,164,0.005,0.005,0.005,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00014950
60,,,157,157,0.0075,0.0025,0.0,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00019219
61,5.0,0.0,156,156,0.0,0.0,0.0075,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00000847
62,1.0,0.0,42,42,0.0075,0.0075,0.01,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00022671
63,4.0,3.0,30,30,0.0075,0.0025,0.005,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00019790
64,6.0,0.0,155,155,0.0025,0.0075,0.0025,0.018000000000000002,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00009918
65,10.0,0.0,172,172,0.0,0.0025,0.0025,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00001452
66,8.0,1.0,166,166,0.005,0.0075,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00016541
67,12.0,3.0,155,155,0.0,0.0025,0.0075,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00001967
68,1.0,0.0,49,49,0.0075,0.01,0.005,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00023487
69,5.0,1.0,162,162,0.0,0.0,0.01,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00001089
70,6.0,0.0,173,173,0.0,0.0,0.01,0.012,1.8,45000,out/autophagy/explore_parameter_space_2_00000983
71,4.0,1.0,34,34,0.0025,0.0075,0.005,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00010087
72,10.0,1.0,164,164,0.0,0.01,0.0,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00004966
73,11.0,1.0,146,146,0.0025,0.0025,0.005,0.03,1.8,45000,out/autophagy/explore_parameter_space_2_00007724
74,7.0,0.0,154,154,0.01,0.0,0.005,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00024617
75,4.0,0.0,158,158,0.0025,0.0,0.0075,0.024,1.8,45000,out/autophagy/explore_parameter_space_2_00006755
76,13.0,1.0,96,96,0.0025,0.01,0.005,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00011485
77,,,146,146,0.0075,0.01,0.01,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00023983
78,,,148,148,0.005,0.0025,0.0,0.012,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00013264
79,4.0,1.0,29,29,0.005,0.0,0.0075,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00012726
80,,,162,162,0.005,0.0025,0.0075,0.018000000000000002,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00014089
81,6.0,0.0,166,166,0.0025,0.005,0.0025,0.024,2.2,45000,out/autophagy/explore_parameter_space_2_00008869
82,8.0,0.0,164,164,0.0025,0.0025,0.0,0.006,2.0,45000,out/autophagy/explore_parameter_space_2_00007305
83,2.0,1.0,23,23,0.01,0.005,0.0075,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00027135
84,7.0,0.0,153,153,0.0075,0.0,0.0,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00018191
85,2.0,0.0,161,161,0.005,0.0,0.0,0.024,2.0,45000,out/autophagy/explore_parameter_space_2_00012133
86,,,166,166,0.0,0.0,0.0075,0.012,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00000886
87,,,168,168,0.0,0.0025,0.0075,0.018000000000000002,2.0,45000,out/autophagy/explore_parameter_space_2_00002042
88,1.0,0.0,47,47,0.0075,0.0025,0.01,0.006,1.8,45000,out/autophagy/explore_parameter_space_2_00020173
89,,,163,163,0.0,0.0,0.01,0.006,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00001021
90,,,166,166,0.0075,0.005,0.01,0.024,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00021537
91,9.0,2.0,154,154,0.01,0.0025,0.0025,0.024,1.9000000000000001,45000,out/autophagy/explore_parameter_space_2_00025527
92,8.0,1.0,146,146,0.0075,0.0,0.0025,0.03,2.0,45000,out/autophagy/explore_parameter_space_2_00018383
93,4.0,1.0,36,36,0.0025,0.0025,0.0025,0.0,2.0,45000,out/autophagy/explore_parameter_space_2_00007536
94,4.0,2.0,18,18,0.01,0.0075,0.0025,0.0,1.8,45000,out/autophagy/explore_parameter_space_2_00027843
95,5.0,0.0,70,70,0.005,0.0,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00013163
96,4.0,1.0,18,18,0.01,0.0,0.0075,0.0,2.2,45000,out/autophagy/explore_parameter_space_2_00024912
97,,,150,150,0.0075,0.005,0.0,0.012,2.2,45000,out/autophagy/explore_parameter_space_2_00020608
98,,,92,92,0.0025,0.0025,0.01,0.006,2.2,45000,out/autophagy/explore_parameter_space_2_00008363
99,17.0,3.0,151,151,0.0025,0.0,0.0025,0.03,2.1000000000000005,45000,out/autophagy/explore_parameter_space_2_00006427
100,,,162,162,0.005,0.005,0.0075,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00015337
101,,,148,148,0.01,0.005,0.0025,0.03,2.2,45000,out/autophagy/explore_parameter_space_2_00026872
102,10.0,0.0,167,167,0.0,0.01,0.01,0.018000000000000002,2.2,45000,out/autophagy/explore_parameter_space_2_00005981
